id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
413594,Sword Art Online: The Movie – Ordinal Scale,7.8,619,Released,2017-02-18,20725409,119,False,/yFZG86Zvdy6JuIlMW9eHxlVkct5.jpg,0,http://sao-movie.net/us/,tt5544384,ja,劇場版 ソードアート・オンライン -オーディナル・スケール-,"In 2026, four years after the infamous Sword Art Online incident, a revolutionary new form of technology has emerged: the Augma, a device that utilizes an Augmented Reality system. Unlike the Virtual Reality of the NerveGear and the Amusphere, it is perfectly safe and allows players to use it while they are conscious, creating an instant hit on the market. The most popular application for the Augma is the game Ordinal Scale, which immerses players in a fantasy role-playing game with player rankings and rewards.  Following the new craze, Kirito's friends dive into the game, and despite his reservations about the system, Kirito eventually joins them. While at first it appears to be just fun and games, they soon find out that the game is not all that it seems...",16.984,/2szdEK0Mr0RG0nWGFVTseNQHbnP.jpg,It was just a game...or so I thought,"Animation, Action, Adventure, Fantasy, Romance, Science Fiction","A-1 Pictures, Aniplex, ASCII Media Works, Bandai Namco Entertainment, GENCO, EGG FIRM",Japan,Japanese,"virtual reality, sword, sword fight, based on manga, anime, mmorpg"
261470,Sorry If I Call You Love,7.457,408,Released,2014-06-20,0,105,False,/3B9Ww0VXG3lG1C3jWFNzbE2ghwU.jpg,0,,tt3230668,es,Perdona si te llamo amor,"A successful, attractive, intelligent and brilliant advertising executive is longing to finally find emotional stability in his life, and decides to propose to his girlfriend. After she refuses his proposal, his life takes a turn when a new young lady enters his life.",16.984,/7RQdmFiEhb8zn5jmsLqdNnmepUE.jpg,,"Romance, Drama","ICEC, Audiovisual Aval SGR, Canal+ España",Spain,Spanish,"age difference, girlfriend, man woman relationship, love, relationship, boyfriend"
315,"Faster, Pussycat! Kill! Kill!",6.434,281,Released,1965-08-06,0,84,False,/kEYzCALqaU8cMMRPtghjAjcLRQi.jpg,45000,,tt0059170,en,"Faster, Pussycat! Kill! Kill!","Three strippers seeking thrills encounter a young couple in the desert. After dispatching the boyfriend, they take the girl hostage and begin scheming on a crippled old man living with his two sons in the desert, reputedly hiding a tidy sum of cash. They become house guests of the old man and try and seduce the sons in an attempt to locate the money, not realizing that the old man has a few sinister intentions of his own.",16.981,/4mld2L1vWqgqFQmKa7KU4HzLKPi.jpg,Go-Go For a Wild Ride With the ACTION GIRLS!,"Crime, Action, Thriller",Eve Productions Inc.,United States of America,English,"sports car, kidnapping, go-go dancer, killing, eroticism"
38541,The Divide,5.866,586,Released,2012-01-13,156362,112,False,/sFtBsQVPZdR13MQh36Npfx9m9Lw.jpg,3000000,,tt1535616,en,The Divide,"Survivors of a nuclear attack are grouped together for days in the basement of their apartment building, where fear and dwindling supplies wear away at their dynamic.",16.978,/hnwX5cUuzBDM0OWJB2UtnjkrHDm.jpg,The lucky ones died in the blast,"Horror, Science Fiction, Thriller","Instinctive Film, Preferred Content, Julijette, The Ink Connection, BR Group, MFM","Canada, Germany, United States of America",English,"basement, septic tank, town in panic, welding, gunshot"
13785,Best in Show,6.913,520,Released,2000-09-29,0,90,False,/itVxHnmzMJbfHhX3rbzCuyI9mfB.jpg,0,https://www.warnerbros.com/movies/best-show,tt0218839,en,Best in Show,"The tension is palpable, the excitement is mounting and the heady scent of competition is in the air as hundreds of eager contestants from across America prepare to take part in what is undoubtedly one of the greatest events of their lives -- the Mayflower Dog Show. The canine contestants and their owners are as wondrously diverse as the great country that has bred them.",16.977,/kVNaXzoX64YwLC99o4gXyKPnplS.jpg,Some pets deserve a little more respect than others.,Comedy,Castle Rock Entertainment,United States of America,English,"philadelphia, pennsylvania, pet shop, illinois, poodle, mockumentary, dog, terrier, kimono, dog show, pets"
662237,Sweet & Sour,7.834,145,Released,2021-06-04,0,101,False,/ojxOBkQfy3RchuJseyazLxmtaNP.jpg,0,https://www.netflix.com/title/81413901,tt14599938,ko,새콤달콤,"Faced with real-world opportunities and challenges, a couple endures the highs and lows of trying to make a long-distance relationship survive.",16.975,/3yGwAPl6LWpi8QwHjwCMaqsPgNB.jpg,Did you think it would stay sweet forever? Then why is it so sour?,"Drama, Romance, Comedy","26 Company, kth",South Korea,Korean,"based on novel or book, love triangle, cheating, workaholic, love at first sight, workplace, office romance, long distance relationship"
214597,Fright Night 2: New Blood,4.901,258,Released,2013-08-31,0,100,False,/9P0IectpPQktF0mu2nkdihsdTSZ.jpg,8000000,,tt2486630,en,Fright Night 2: New Blood,"By day Gerri Dandridge is a sexy professor, but by night she transforms into a real-life vampire with an unquenchable thirst for human blood. When a group of high school students travel abroad to study in Romania, they find themselves ensnared in her chilling web of lust and terror. Charlie and 'Evil' Ed must stop Gerri from drinking and bathing in the blood of a 'new moon virgin', who just so happens to be Charlie’s ex-girlfriend.",16.971,/cp2959zvia5B3wgsv4pOurHndvb.jpg,"New Blood, New Victims...","Horror, Comedy",Gaeta / Rosenzweig Films,United States of America,English,"vampire, professor, vampire hunter (slayer), romania"
18519,Free Willy 3: The Rescue,6.2,309,Released,1997-08-06,0,86,False,/651HXaynmumQkpVfHCAIOdOXa34.jpg,0,,tt0119152,en,Free Willy 3: The Rescue,"Willy the whale is back, this time threatened by illegal whalers making money off sushi. Jesse, now 16, has taken a job on an orca-researching ship, along with old friend Randolph and a sarcastic scientist, Drew. On the whaler's ship is captain John Wesley and his son, Max, who isn't really pleased about his father's job, but doesn't have the gut to say so. Along the way, Willy reunites with Jesse",16.966,/7HlfEpCaZ93o9XFbBKbSDERIijY.jpg,A new friend. A new threat. A new adventure that will capture your heart.,"Family, Adventure","Donner/Shuler-Donner Productions, Regency Enterprises, Warner Bros. Pictures, Warner Bros. Family Entertainment",United States of America,English,"ship, whale, friends, killer whale, whaler"
601666,I Care a Lot,6.632,2417,Released,2021-02-19,0,119,False,/nuZMOvban3QbG4rRx0WRfEZTnfh.jpg,0,https://www.netflix.com/title/81350429,tt9893250,en,I Care a Lot,A court-appointed legal guardian defrauds her older clients and traps them under her care. But her latest mark comes with some unexpected baggage.,16.959,/gKnhEsjNefpKnUdAkn7INzIFLSu.jpg,,"Comedy, Crime, Thriller, Drama","Black Bear Pictures, Crimple Beck, STX Films","United Kingdom, United States of America",English,"psychopath, dark comedy, sociopath, guardian, ceo, social services, scam artist, female psychopath, late stage capitalism, social criticism, scammer, socialized psychopath"
86835,Knight of Cups,5.638,589,Released,2015-02-08,566006,118,False,/8vqQs9VMBECtDJJNnS0ZgVGTLCQ.jpg,0,,tt2101383,en,Knight of Cups,"Rick is a screenwriter living in Los Angeles. While successful in his career, his life feels empty. Haunted and confused, he finds temporary solace in the decadent Hollywood excess that defines his existence. Women provide a distraction to his daily pain, and every encounter brings him closer to finding his place in the world.",16.957,/xejFBC19Nc7Xi1MiIvcf84ZCy2g.jpg,A quest.,"Romance, Drama","Waypoint Entertainment, Dogwood Films",United States of America,"German, English, Serbian","celebrity, money, temptation, wealthy man, excess"
